topic,keywords,topic_label
0,"esami, esame, cfu, che, crediti, di, da, se, ects, un",riconoscimento esami e crediti
1,"erasmus, di, la, per, in, il, che, non, si, se",non rilevante
2,"firma, firmato, pdf, digitale, accordo, la, penna, con, cie, lo",Firma digitale e documentazione
3,"opportunità, minori, isee, bando, fondi, la, quota, rata, che, non",Borse di studio e requisiti economici
4,"mail, università, modulo, ospitante, di, il, accettazione, la, non, fare",	Lettera di accettazione e comunicazioni con università
5,"imbarco, biglietti, rimborso, ricevuta, biglietto, carte, volo, carta, ryanair, di",Biglietti e rimborso viaggi
6,"in, da, per, che, la, un, non, io, se, di",non rilevante
7,"graduatorie, definitive, le, graduatoria, settembre, quando, escono, ma, prima, secondo",Graduatorie e tempistiche di pubblicazione
8,"referente, firmato, ola, cagliari, lo, firma, la, firmare, ha, detto",Referenti e firma dell'OLA
9,"mesi, riduzione, accordo, prolungamento, di, il, 10, che, la, per",Prolungamento mobilità e aspetti finanziari
10,"test, cla, del, luglio, il, risultati, 14, date, orale, giugno",Test di lingua CLA e risultati
11,"certificazione, livello, lingua, inglese, se, non, b1, b2, il, che",Certificazioni linguistiche e livelli richiesti
12,"soldi, dicembre, pagamenti, rata, novembre, 27, non, me, arrivano, la",Pagamenti e tempistiche delle rate
13,"oggi, escono, davvero, che, detto, domani, non, alle, si, quindi",non rilevante
14,"psicologia, lingue, che, hanno, le, non, ma, no, in, sono",non rilevante
15,"risposto, ha, baita, mi, mail, la, rispondendo, ferie, me, ho",comunicazioni via mail con ufficio erasmus
16,"semestre, primo, secondo, al, inizio, fine, partire, anno, gennaio, lezioni",periodo di partenze Erasmus
17,"whatsapp, com, chat, https, gruppo, entrare, link, apri, mio, segui",chat di gruppo whatsapp
18,"qualcuno, brno, budapest, ceca, ciao, repubblica, praga, polonia, cracovia, ragazzi",mete erasmus
19,"grazie, mille, servirebbe, favore, guys, banska, ohia, edo, incrociare, ook",non rilevante
20,"transcript, records, of, lo, università, cagliari, ospitante, firmare, nel, compilare",transcript of records e documenti finali
21,"ha, detto, gliel, lo, lho, han, mandato, me, tornato, potresti",non rilevante
22,"città, campus, madrid, qualcuno, portogallo, in, idealista, andare, che, gruppo",mete erasmus e ricerca alloggio
23,"giorni, mobilità, mesi, calcolo, accordo, date, di, nel, fine, viaggio",durata della mobilità e calcolo dei giorni
24,"qualcuno, deve, porto, stato, ciao, fatto, andare, erasmus, qualcun, stettino",esperienze personali e consigli pratici 
25,"mille, grazie, thankssss, menzionati, grazieeee, grazieee, ringrazio, perfetto, risolto, top",non rilevante
26,"valladolid, coimbra, cercami, morta, ahahahahahahahahah, agahahahahahahah, 0001, deepl, oraaaa, pregoooo",non rilevante
27,"during, mobilità, mobility, the, sezione, learning, devo, accordo, tutto, la",learning agreement (accordo di mobilità)
28,"learning, agreement, modificare, il, online, cambiare, ciao, riprendere, salva, aggiungere",modifiche learning agreement
29,"mail, arrivata, mi, ho, una, risposto, normale, me, mattinata, email",risposte via mail
30,"messaggio, link, stato, modificato, 22, messaggi, lo, non, comune, questo",non rilevante
31,"stanza, semestre, secondo, qualcuno, ciao, deve, al, gennaio, una, salamanca",mete erasmus
32,"rata, novembre, 27, arrivare, metà, verso, seconda, dicembre, mese, quando",pagamenti e tempistiche rata erasmus
33,"spagnolo, inglese, lingua, certificazione, lingue, in, se, ho, livello, spagnola",certificazioni linguistiche e livello richiesti
34,"anche, stessa, io, me, stesso, così, urlando, rifatto, identica, problema",non rilevante
35,"modificare, ola, modifica, aggiungere, nuovo, modificarlo, quante, creare, vuoi, capo",modifiche OLA e gestione accordo
36,"dubbio, palle, hai, rimandala, incolpino, boooohhh, nope, perffff, falla, aiutoo",non rilevante
37,"neanche, scritto, non, prefisso, attaccato, avevo, capito, richiederle, letto, sorry",non rilevante
38,"grazie, va, ok, bene, lesrninf, grazieeee, ah, mille, uscendo, riesce",non rilevante
39,"dulcis, lorenzo, fissato, eliminato, amministratore, messaggio, sara, filippo, dall, piu",non rilevante
40,"browser, prova, certificato, livello, ols, provato, test, problema, dà, il",OLS e certificazione linguistica
41,"facoltà, mail, it, teams, contattare, poddesu, ismoka, erasmus, unica, me",contatti e comunicazioni erasmus
42,"okok, okk, oki, grazie, graziee, mille, perf, ah, effettivi, perfetto",non rilevante
43,"ingredienti, mangia, nooo, spagnoli, madonna, whatsapp, in, si, carbonara, sugo",non rilevante
44,"assicurazione, sanitaria, averla, insurance, of, ciao, mia, segreteria, richiederla, la",assicurazione sanitaria
45,"ola, firmato, learning, firmare, agreement, cartaceo, firma, modifiche, referente, non",firma del learning agreement e gestione cartacea
46,"borsa, rata, verificare, riceverò, erasmus, ras, mur, vincita, la, medio",borsa erasmus
47,"iban, anagrafica, domiciliazione, bancaria, su, esse3, dati, home, voce, mettere",compilazione dati bancari e anagrafici
48,"email, mail, account, accedere, istituzionale, conferma, con, accesso, matricola, quella",accesso email istituzionale 
49,"grazie, mille, croissant, portachiavi, napoletano, cucciolo, fantastico, ritrovi, tante, thanks",non rilevante
50,"aula, blocco, 58, magistero, destra, asse, min, centrale, 10, ritardo",spostamenti a Cagliari
51,"attualmente, qualcuno, gruppi, gruppo, germania, erasmus, in, ciao, tramite, proattivi",Ricerca gruppi Erasmus
52,"francese, b1, francia, secondo, sabato, di, io, medie, medicina, facoltà",Requisiti Erasmus per la Francia
